id,user_id,date,start,end,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10
1426,3c5698e7d4e0998893a8379b227af4a4,2014-01-22,2014-01-22 15:17:40,2014-01-22 15:19:54,0,5,0,1,25,13,-5,8,0,12,-4,-6,0,-11,-8,-12,-9,0,0,0,-6,-6,-8,-12,-5,-10,-11,-3,-4,0
1427,cf792e0ac01a0f3ccfd28069291a6429,2014-01-22,2014-01-22 15:17:47,2014-01-22 15:20:24,13,9,8,5,47,5,0,42,33,29,-2,-5,0,-13,-9,-6,-11,-5,0,0,0,0,-5,0,-8,0,-7,0,0,0
1433,150211d3e28031f6e340f9e64f5270ab,2014-01-22,2014-01-22 16:42:03,2014-01-22 16:44:28,6,47,20,14,20,12,21,10,16,67,-13,-16,-15,-15,-13,-16,-13,-14,-1,-7,-5,-10,-13,-8,-8,-8,-6,-10,-9,-11
1438,b91c5163a02167650b43fe7e2d0f4fd1,2014-01-22,2014-01-22 17:01:20,2014-01-22 17:03:29,-2,0,0,10,12,1,25,0,-4,16,-8,-14,-2,-16,-13,-14,-12,-5,-12,-4,-5,-10,-13,-3,0,-6,-15,-9,11,-14
1437,41ca611d7a17219001d1e66d505b318d,2014-01-22,2014-01-22 17:00:03,2014-01-22 17:02:24,-10,12,0,-11,31,-6,14,-10,6,0,0,0,0,6,0,0,-3,0,-7,-1,0,0,0,0,0,-11,-8,-9,-2,-10
1434,e56ca25382f97725737d60e73bd5108e,2014-01-22,2014-01-22 16:51:55,2014-01-22 16:54:16,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-11,-9,0,0,0,0,0,0,0,0,0,0,0,0,0
1439,fa793bf00c1deec89bed1d291adaefb0,2014-01-22,2014-01-22 17:01:11,2014-01-22 17:03:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1441,d7e826b933cbc51224922393c28856ed,2014-01-22,2014-01-22 17:20:03,2014-01-22 17:21:57,-7,-9,-9,-6,-5,-10,-12,-8,-6,-8,-12,-15,-12,-13,-14,-15,-15,-13,-13,-12,-8,-13,-9,-12,-13,-12,-14,-14,-13,-12
1435,5f92d4b877112cf9625969ba903d1e6e,2014-01-22,2014-01-22 16:53:04,2014-01-22 16:55:24,0,0,8,0,17,0,-1,0,0,38,-14,-11,-14,-14,-15,-16,-16,-14,0,0,0,0,-1,-13,0,-7,0,0,0,0
1442,5da09fde798844ac617e55b1a83f05ba,2014-01-22,2014-01-22 17:24:04,2014-01-22 17:25:52,-3,0,0,-13,2,-2,-9,-9,-7,-7,-13,-13,-13,-12,-13,-14,-10,-14,-9,-11,-13,-13,-16,-13,-13,-10,-13,-12,-14,-13
1436,03acb0c79a2efc8e8ec47f395a73d99f,2014-01-22,2014-01-22 16:53:07,2014-01-22 16:55:39,28,10,8,32,43,121,33,55,29,45,-15,-15,-18,-17,-15,-16,-13,-16,-13,-11,-12,-8,-13,-15,-15,-16,-12,2,-16,-13
1440,ff7dfba4827c07a6c4cccf4bd5bd99a8,2014-01-22,2014-01-22 17:05:58,2014-01-22 17:07:24,-15,-18,-17,-17,-18,-17,-15,-14,-17,-16,-14,-15,-17,-17,-15,-16,-15,-17,-15,-17,-13,-15,-14,-13,-17,-15,-16,-17,-17,-18
